,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,277.7967,277.0478,0.040617768,0.70827055,0.5,0.5,0.5,290.8097,0.7081176
1,266.81473,266.02902,0.07776719,0.7079498,0.5,0.5,0.5,278.51886,0.70778024
2,254.51271,253.68394,0.121173516,0.70757705,0.5,0.5,0.5,265.39853,0.7074681
3,242.04626,241.17458,0.16488266,0.7068963,0.5,0.5,0.5,252.24857,0.70681596
4,229.23753,228.32541,0.20581293,0.7063438,0.5,0.5,0.5,239.72763,0.7063757
5,217.5809,216.63406,0.24139248,0.70543283,0.5,0.5,0.5,227.33769,0.70560133
6,206.11174,205.13106,0.2758857,0.70478386,0.5,0.5,0.5,215.33467,0.70465004
7,195.27861,194.26553,0.3093501,0.70370066,0.5,0.5,0.5,204.39279,0.703652
8,184.6345,183.5925,0.33956474,0.70243573,0.5,0.5,0.5,193.79442,0.70242435
9,174.84094,173.77734,0.36254936,0.7010387,0.5,0.5,0.5,184.10011,0.70126426
10,166.1448,165.05986,0.38582647,0.69913554,0.5,0.5,0.5,174.82053,0.6998618
11,156.96068,155.86029,0.4031419,0.6972519,0.5,0.5,0.5,166.22954,0.6985949
12,149.64134,148.5284,0.4168718,0.6960567,0.5,0.5,0.5,158.17195,0.69725263
13,142.22368,141.09712,0.43297043,0.6936096,0.5,0.5,0.5,150.88538,0.6958226
14,135.17165,134.03748,0.4419906,0.6921768,0.5,0.5,0.5,143.8615,0.69419014
15,128.803,127.6663,0.44625965,0.690439,0.5,0.5,0.5,136.8551,0.69323874
16,122.28449,121.14098,0.45331848,0.6901967,0.50125,0.5,0.5,130.59525,0.6923597
17,116.37314,115.22521,0.45939633,0.68852544,0.4975,0.5,0.496,123.53319,0.69356394
18,110.71506,109.556465,0.46935993,0.68920296,0.48,0.5,0.47900003,118.080505,0.69239104
19,106.09897,104.933685,0.47827968,0.68701726,0.4875,0.5,0.446,112.09403,0.69246966
20,100.05909,98.89166,0.4805335,0.6868719,0.47,0.5,0.44050002,106.94928,0.6923288
21,94.590775,93.41926,0.48397988,0.68753374,0.48625,0.5,0.43900004,101.926926,0.6921004
22,90.49386,89.311745,0.4947288,0.68736994,0.485,0.5,0.43850002,96.70046,0.6939746
23,86.14789,84.96934,0.4921807,0.6863736,0.50375,0.5,0.43600002,91.88841,0.6931065
24,81.6978,80.5062,0.50528234,0.68630373,0.5075,0.5,0.44500002,87.81792,0.6952089
25,78.28379,77.08725,0.5080746,0.6884601,0.5175,0.5,0.44049996,83.928276,0.6952585
26,75.06888,73.867836,0.51470166,0.68635416,0.52125,0.5,0.44,80.07813,0.69586873
27,72.18674,70.98354,0.5158514,0.687348,0.51625,0.5,0.443,76.38924,0.6971411
28,69.14116,67.935486,0.5171381,0.68852776,0.50625,0.5,0.44300002,73.70585,0.6979259
29,66.1553,64.94367,0.5234152,0.68822104,0.53,0.5,0.44250003,70.01662,0.6980709
30,63.93743,62.72957,0.51836777,0.68950796,0.51875,0.5,0.43649998,67.7283,0.6994555
31,61.20365,60.001987,0.51095253,0.69070756,0.50125,0.5,0.43400002,65.2165,0.70033866
32,58.58167,57.375103,0.5151967,0.6913672,0.50625,0.5,0.44049996,63.091198,0.70093405
33,57.36652,56.158955,0.515338,0.69222647,0.50375,0.5,0.425,60.57478,0.7030641
34,55.031403,53.832085,0.5070882,0.6922229,0.49625,0.5,0.4255,58.98751,0.7033075
35,52.768414,51.568134,0.50754267,0.69272923,0.51,0.5,0.41850004,56.60504,0.7050132
36,51.555164,50.35731,0.5026804,0.695187,0.50375,0.5,0.41950002,55.073334,0.70493364
37,50.244366,49.05756,0.49354923,0.69326437,0.4875,0.5,0.41550002,53.04122,0.7048454
38,48.347286,47.15857,0.4929028,0.69582415,0.48375,0.5,0.41200003,51.598015,0.7052326
39,46.896034,45.712055,0.4865746,0.6973967,0.48,0.5,0.4035,50.003067,0.70689785
40,45.62081,44.443306,0.4809476,0.6965611,0.48,0.5,0.40850002,48.428288,0.7069267
41,44.4213,43.250343,0.4738327,0.6971153,0.4625,0.5,0.3875,46.75791,0.71002513
42,44.04513,42.887993,0.4583481,0.6987879,0.4625,0.5,0.39000002,44.92935,0.7090514
43,41.5938,40.439552,0.45595524,0.6982878,0.45875,0.5,0.39,44.60776,0.7096734
44,40.78945,39.63651,0.45365086,0.69929713,0.4475,0.5,0.38650003,42.966194,0.7097133
45,40.57834,39.43461,0.44410267,0.6996324,0.4575,0.5,0.375,42.177296,0.7097024
46,38.89689,37.763058,0.4337368,0.70009017,0.43875,0.5,0.373,40.466972,0.71129733
47,37.50616,36.382225,0.4236849,0.7002526,0.45,0.5,0.37300003,39.17449,0.7110961
48,36.20851,35.08291,0.42409152,0.7015162,0.41875,0.5,0.362,38.262905,0.711122
49,36.11049,34.998096,0.41155064,0.7008411,0.415,0.5,0.365,37.010857,0.7115343
50,35.312862,34.19407,0.4173969,0.7013987,0.42,0.5,0.364,36.40151,0.7111114
