,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,3140.49,3139.7485,0.03266816,0.70836085,0.5,0.5,0.5,3264.4497,0.7084037
1,3106.6682,3105.8984,0.06091653,0.7081729,0.5,0.5,0.5,3221.4429,0.70807636
2,3060.8665,3060.0527,0.105894454,0.70777977,0.5,0.5,0.5,3169.2903,0.70778215
3,3005.9233,3005.0654,0.15018936,0.70741934,0.5,0.5,0.5,3106.8186,0.70735115
4,2941.9187,2941.0146,0.19696754,0.70721126,0.5,0.5,0.5,3038.5266,0.7071365
5,2875.144,2874.1956,0.24159977,0.7067196,0.5,0.5,0.5,2967.663,0.7067386
6,2806.2195,2805.2266,0.28686377,0.70657766,0.5,0.5,0.5,2894.5767,0.70635337
7,2734.4832,2733.4446,0.33245045,0.7061607,0.5,0.5,0.5,2818.2305,0.70597047
8,2653.755,2652.6711,0.37823945,0.7057027,0.5,0.5,0.5,2735.9456,0.7054952
9,2572.6655,2571.536,0.42450222,0.7052408,0.5,0.5,0.5,2647.3389,0.7049682
10,2494.0579,2492.8826,0.4706241,0.7045241,0.5,0.5,0.5,2563.4448,0.7045403
11,2404.2236,2403.003,0.5169219,0.7038782,0.5,0.5,0.5,2476.694,0.70374954
12,2324.5989,2323.3345,0.56078833,0.703138,0.5,0.5,0.5,2390.2456,0.70289695
13,2242.7568,2241.4558,0.5993045,0.7020539,0.5,0.5,0.5,2309.0317,0.7018479
14,2166.973,2165.6416,0.6311551,0.7007855,0.5,0.5,0.5,2229.2607,0.70054674
15,2092.6318,2091.2637,0.66779953,0.6997809,0.5,0.5,0.5,2156.2642,0.6991464
16,2024.6978,2023.3035,0.6969402,0.6980884,0.5,0.5,0.5,2080.0317,0.6977278
17,1954.4833,1953.0608,0.7262712,0.6965613,0.5,0.5,0.5,2015.3668,0.6960662
18,1892.7812,1891.3369,0.749887,0.69481987,0.5,0.5,0.5,1950.9867,0.6942283
19,1828.7043,1827.2422,0.76964843,0.6924455,0.5,0.5,0.5,1891.0664,0.69226205
20,1773.8922,1772.4137,0.7878777,0.6903855,0.5,0.5,0.5,1832.9753,0.6900746
21,1720.8411,1719.3427,0.8100057,0.68798137,0.5,0.5,0.5,1777.4164,0.68764764
22,1671.0741,1669.5682,0.8210086,0.68523705,0.5,0.5,0.5,1724.5146,0.6847292
23,1622.158,1620.6405,0.83502316,0.682781,0.5,0.5,0.50100005,1677.0217,0.6815647
24,1578.5657,1577.05,0.8359249,0.6797638,0.50625,0.5,0.50600004,1631.3978,0.67846596
25,1537.0988,1535.5563,0.86508715,0.6769203,0.5125,0.5,0.5395,1587.7151,0.67592776
26,1498.9028,1497.3772,0.85062337,0.67486835,0.545,0.5,0.586,1546.1172,0.67211914
27,1460.3925,1458.8472,0.874439,0.6708223,0.61,0.5,0.65999997,1506.4799,0.6686536
28,1422.0005,1420.463,0.86966515,0.66805214,0.66,0.5,0.7035,1470.9681,0.6661804
29,1387.7203,1386.1752,0.8807077,0.66435945,0.70125,0.5,0.73550004,1433.6902,0.66138536
30,1358.2858,1356.755,0.8696422,0.6614045,0.7275,0.5,0.75100005,1400.257,0.658697
31,1322.3823,1320.8503,0.8743349,0.65771264,0.73375,0.5,0.748,1366.5798,0.6563851
32,1292.009,1290.4949,0.85865545,0.65514284,0.73875,0.5,0.7535001,1335.7448,0.6517638
33,1264.9705,1263.4454,0.8740303,0.65100783,0.74375,0.5,0.75600004,1306.1547,0.65169954
34,1238.6609,1237.1494,0.8619373,0.64957535,0.74375,0.5,0.7545001,1277.3738,0.6459138
35,1211.5953,1210.0775,0.87212324,0.6457037,0.7425,0.5,0.75600004,1249.8633,0.6450232
36,1186.9468,1185.444,0.8587537,0.6440525,0.7425,0.5,0.75299996,1222.4501,0.64109707
37,1158.3939,1156.8875,0.8653164,0.6407509,0.74,0.5,0.7505001,1196.9935,0.63728535
38,1136.2266,1134.7173,0.87206864,0.63745505,0.735,0.5,0.7505,1171.8835,0.63717115
39,1113.9769,1112.4988,0.8417565,0.63636774,0.74,0.5,0.75,1147.5305,0.6305315
40,1092.0385,1090.56,0.8451492,0.63359296,0.73375,0.5,0.74899995,1128.6714,0.6339798
41,1072.1722,1070.7207,0.81905675,0.6326485,0.72875,0.5,0.74749994,1101.4875,0.629428
42,1047.4528,1045.9972,0.8270285,0.6283156,0.72875,0.5,0.74149996,1082.0134,0.6238301
43,1028.7942,1027.3445,0.8215904,0.6278013,0.735,0.5,0.74700004,1059.8635,0.62430155
44,1011.8086,1010.3792,0.8020264,0.6272065,0.72625,0.5,0.74349993,1039.8278,0.624596
45,990.1282,988.67126,0.8330136,0.62406254,0.7325,0.5,0.7375,1022.5602,0.61529005
46,969.9372,968.4913,0.82389784,0.6218851,0.73,0.5,0.7414999,1000.6019,0.61744744
47,954.1565,952.7396,0.7938652,0.6228262,0.73,0.5,0.7445,981.9414,0.619163
48,932.51953,931.12,0.7789669,0.6205954,0.73,0.5,0.74,963.5828,0.61399704
49,920.4523,919.03546,0.79813105,0.6186849,0.72875,0.5,0.7425,941.7996,0.6104039
50,1210.1754,901.3814,0.8191689,0.6159497,0.72625,0.5,0.73899996,922.28986,0.61119246
51,1187.8356,879.80524,0.8063091,0.6144484,0.725,0.5,0.7375001,901.5159,0.61113226
52,1170.878,862.9918,0.78220797,0.6142077,0.7275,0.5,0.736,881.09064,0.6085943
53,1145.6686,838.5597,0.7703981,0.61267716,0.725,0.5,0.7345,856.51056,0.60569215
54,1125.8203,819.5907,0.77153236,0.61091596,0.7275,0.5,0.73649997,841.3584,0.6028198
55,1114.5924,808.2106,0.7491774,0.61126536,0.72,0.5,0.7315,822.0156,0.60572207
56,1092.1915,787.11255,0.77532035,0.6086075,0.72625,0.5,0.73350006,805.4157,0.6021646
57,1077.8925,772.5376,0.72649056,0.60925657,0.71875,0.5,0.734,785.6813,0.60281116
58,1060.1538,756.18506,0.75836843,0.60642123,0.725,0.5,0.73100007,770.09357,0.60102
59,1050.3481,745.1018,0.7314167,0.60903007,0.72,0.5,0.73,754.588,0.59860885
60,1030.1865,727.3869,0.74307054,0.60411304,0.71875,0.5,0.7335,738.8072,0.598575
